0.6090 0.0724 0.4531 0.5111 0.1725 0.2589 0.4929 0.7830 0.2166 0.3945 -0.2235 0.9110 0.3393 0.6702 0.9821 0.3478 0.5178 0.8301 1.2020 0.5385 0.6985 0.2235 -1
0.3090 0.0136 0.4394 0.4893 0.1319 0.2784 0.3186 0.5181 0.2880 0.4294 0.0801 0.6110 0.2805 0.6565 0.9603 0.3072 0.5372 0.6558 0.9371 0.6100 0.7334 0.5271 -1
0.4290 0.0430 0.2477 0.2386 0.1156 0.0065 0.1955 0.3420 0.0431 0.0224 0.1158 0.7310 0.3099 0.4647 0.7096 0.2909 0.2653 0.5327 0.7611 0.3651 0.3264 0.5628 -1
0.4490 0.0871 0.4120 -0.1592 0.0831 0.1036 0.1801 0.0681 0.2676 0.2201 0.4372 0.7510 0.3540 0.6291 0.3118 0.2584 0.3624 0.5173 0.4872 0.5896 0.5241 0.8842 -1
0.1690 0.0724 0.2751 -0.2355 0.0912 0.1521 0.1134 -0.0402 0.1451 0.0108 0.2229 0.4710 0.3393 0.4921 0.2355 0.2665 0.4110 0.4507 0.3788 0.4671 0.3148 0.6699 -1
0.2690 0.0724 0.2477 -0.0393 0.1075 0.6085 0.4622 0.2186 0.0533 0.4759 0.1515 0.5710 0.3393 0.4647 0.4317 0.2828 0.8673 0.7994 0.6377 0.3753 0.7799 0.5985 -1
0.3490 0.1607 0.3435 0.2004 0.2050 0.1327 0.2263 0.3503 0.2574 0.2201 0.2051 0.6510 0.4276 0.5606 0.6715 0.3803 0.3915 0.5635 0.7693 0.5794 0.5241 0.6521 -1
0.2890 -0.0305 0.4805 -0.2192 0.1644 0.4725 0.4263 0.0606 0.1451 0.4410 0.2408 0.5910 0.2364 0.6976 0.2519 0.3397 0.7313 0.7635 0.4796 0.4671 0.7450 0.6878 -1
0.2090 0.1460 0.2477 -0.1974 0.1888 0.1327 0.2365 0.1885 0.4206 0.1852 0.1158 0.5110 0.4129 0.4647 0.2737 0.3641 0.3915 0.5737 0.6076 0.7426 0.4892 0.5628 -1
0.3090 -0.0452 0.3161 -0.1374 0.1156 -0.0032 0.1134 0.1885 0.4104 0.4527 0.2944 0.6110 0.2217 0.5332 0.3336 0.2909 0.2556 0.4507 0.6076 0.7324 0.7566 0.7413 -1
0.1290 0.1312 0.2477 0.2931 0.0587 0.0842 0.2673 0.3616 0.4104 -0.0124 0.1515 0.4310 0.3982 0.4647 0.7641 0.2340 0.3430 0.6045 0.7806 0.7324 0.2915 0.5985 -1
0.3890 0.0577 0.2066 -0.1865 -0.0145 -0.0129 0.0673 0.0019 0.1553 0.1271 0.4372 0.6910 0.3246 0.4236 0.2846 0.1608 0.2459 0.4045 0.4210 0.4773 0.4310 0.8842 -1
0.4290 0.1460 0.2066 0.4021 0.1725 0.2881 0.2622 0.5542 0.0431 0.2434 0.0265 0.7310 0.4129 0.4236 0.8731 0.3478 0.5469 0.5994 0.9732 0.3651 0.5473 0.4735 -1
0.3290 0.0577 0.6997 -0.2246 0.9123 0.4143 0.3955 0.2111 0.1247 0.0457 -0.0985 0.6310 0.3246 0.9167 0.2464 1.0877 0.6731 0.7327 0.6301 0.4467 0.3497 0.3485 -1
0.3090 0.2930 0.2888 -0.1647 0.0831 0.2007 0.2058 -0.0718 0.2268 0.2085 0.6515 0.6110 0.5599 0.5058 0.3064 0.2584 0.4595 0.5430 0.3472 0.5487 0.5124 1.0985 -1
0.1690 0.0136 0.3846 -0.2192 0.1075 0.0065 0.0365 -0.1027 0.0941 0.1620 0.5087 0.4710 0.2805 0.6017 0.2519 0.2828 0.2653 0.3737 0.3164 0.4161 0.4659 0.9556 -1
0.2090 0.2195 0.2888 -0.2137 0.0180 -0.0032 0.2314 -0.1410 0.0737 0.3364 0.6158 0.5110 0.4864 0.5058 0.2573 0.1933 0.2556 0.5686 0.2780 0.3957 0.6404 1.0628 -1
0.4890 -0.0232 0.3435 -0.1592 0.1806 0.5356 0.7545 0.2638 0.1859 0.3015 0.0087 0.7910 0.2438 0.5606 0.3118 0.3559 0.7945 1.0917 0.6828 0.5079 0.6055 0.4556 -1
0.4690 0.0724 0.5490 0.2277 0.0912 0.1036 0.3442 0.3014 -0.0079 -0.0357 0.2051 0.7710 0.3393 0.7660 0.6987 0.2665 0.3624 0.6814 0.7204 0.3141 0.2683 0.6521 -1
0.2490 0.1165 0.2203 -0.2083 0.0587 0.1619 0.1955 0.0982 0.3084 0.1038 0.2229 0.5510 0.3835 0.4373 0.2628 0.2340 0.4207 0.5327 0.5173 0.6304 0.4078 0.6699 -1
