0.2338 0.1187 0.2184 0.2900 0.6996 0.5063 0.6705 0.8529 -1
-0.0662 0.3062 0.1073 0.0757 0.3996 0.6938 0.5594 0.6386 -1
0.3004 0.3062 0.3017 0.4328 0.7662 0.6938 0.7538 0.9957 -1
0.0338 -0.0063 0.2462 0.4328 0.4996 0.3813 0.6983 0.9957 -1
0.0004 -0.0063 -0.0594 -0.2100 0.4662 0.3813 0.3927 0.3529 -1
0.1004 0.3062 0.2739 0.2900 0.5662 0.6938 0.7261 0.8529 -1
0.2338 0.2437 0.4128 0.2900 0.6996 0.6313 0.8649 0.8529 -1
-0.2329 -0.0688 -0.2261 -0.2814 0.2329 0.3188 0.2261 0.2814 -1
0.5338 0.3062 0.4684 0.1471 0.9996 0.6938 0.9205 0.7100 -1
0.1004 0.3062 0.0239 0.0757 0.5662 0.6938 0.4761 0.6386 -1
0.3004 0.3062 0.3851 0.2900 0.7662 0.6938 0.8372 0.8529 -1
0.2338 0.4937 0.1628 0.1471 0.6996 0.8813 0.6149 0.7100 -1
0.3671 0.3687 0.1628 0.0757 0.8329 0.7563 0.6149 0.6386 -1
0.2338 -0.1313 0.0795 -0.0672 0.6996 0.2563 0.5316 0.4957 -1
0.5671 0.2437 0.6073 0.2900 1.0329 0.6313 1.0594 0.8529 -1
0.7671 0.8062 0.6351 0.4328 1.2329 1.1938 1.0872 0.9957 -1
0.1671 0.2437 0.1628 0.0043 0.6329 0.6313 0.6149 0.5672 -1
0.0004 0.3062 -0.0038 -0.0672 0.4662 0.6938 0.4483 0.4957 -1
0.2671 0.4312 0.3295 0.6471 0.7329 0.8188 0.7816 1.2100 -1
0.7004 0.1812 0.7184 0.4328 1.1662 0.5688 1.1705 0.9957 -1
0.3671 0.3062 0.2462 0.2186 0.8329 0.6938 0.6983 0.7814 -1
0.1004 0.4312 0.1906 0.2900 0.5662 0.8188 0.6427 0.8529 -1
-0.2329 -0.0063 0.1073 0.2186 0.2329 0.3813 0.5594 0.7814 -1
0.2338 0.5562 0.4128 0.7186 0.6996 0.9438 0.8649 1.2814 -1
0.4004 0.3062 0.3851 0.5043 0.8662 0.6938 0.8372 1.0672 -1
0.0004 0.1187 0.0239 -0.0672 0.4662 0.5063 0.4761 0.4957 -1
0.0671 0.0562 -0.0316 -0.1386 0.5329 0.4438 0.4205 0.4243 -1
0.2004 0.1812 0.1906 0.2900 0.6662 0.5688 0.6427 0.8529 -1
0.2671 0.1812 0.4128 0.5043 0.7329 0.5688 0.8649 1.0672 -1
0.1338 -0.1938 -0.0316 -0.2814 0.5996 0.1938 0.4205 0.2814 -1
0.7004 0.3062 0.5517 0.6471 1.1662 0.6938 1.0038 1.2100 -1
0.0004 0.1812 0.2184 0.4328 0.4662 0.5688 0.6705 0.9957 -1
0.0671 0.1187 -0.0594 -0.1386 0.5329 0.5063 0.3927 0.4243 -1
0.2671 0.2437 0.0517 -0.0672 0.7329 0.6313 0.5038 0.4957 -1
0.7004 0.0562 0.7739 0.6471 1.1662 0.4438 1.2261 1.2100 -1
0.2338 -0.0063 0.2184 0.0757 0.6996 0.3813 0.6705 0.6386 -1
0.0671 0.1812 0.2739 0.7186 0.5329 0.5688 0.7261 1.2814 -1
0.1671 0.1812 -0.0316 -0.0672 0.6329 0.5688 0.4205 0.4957 -1
0.3004 0.4312 0.2739 0.4328 0.7662 0.8188 0.7261 0.9957 -1
0.0671 0.1187 0.2739 0.3614 0.5329 0.5063 0.7261 0.9243 -1
0.6004 0.1812 0.5517 0.3614 1.0662 0.5688 1.0038 0.9243 -1
0.0338 0.1812 -0.0038 -0.0672 0.4996 0.5688 0.4483 0.4957 -1
0.2004 -0.1938 0.1073 0.0757 0.6662 0.1938 0.5594 0.6386 -1
-0.1996 -0.1313 -0.2261 -0.2814 0.2662 0.2563 0.2261 0.2814 -1
0.1338 0.3062 0.1906 0.2900 0.5996 0.6938 0.6427 0.8529 -1
0.0671 0.1187 0.2739 0.3614 0.5329 0.5063 0.7261 0.9243 -1
0.3671 0.3062 0.3017 0.6471 0.8329 0.6938 0.7538 1.2100 -1
0.1338 0.1187 0.2739 0.1471 0.5996 0.5063 0.7261 0.7100 -1
0.2338 0.1812 0.2739 0.0757 0.6996 0.5688 0.7261 0.6386 -1
-0.0329 -0.0688 -0.1149 -0.2814 0.4329 0.3188 0.3372 0.2814 -1
