0.2805 0.3480 0.2706 0.4446 0.2621 0.2251 0.1783 -0.0874 -0.0042 0.5675 0.5700 0.7454 0.8143 0.5159 0.6676 0.4936 0.0874 0.3442 -1
0.1805 0.3940 0.2506 0.5722 0.3841 -0.2212 0.1231 -0.0874 -0.1742 0.4675 0.6160 0.7254 0.9420 0.6379 0.2212 0.4383 0.0874 0.1742 -1
0.7385 -0.1110 -0.2374 0.8151 -0.1269 0.3042 0.5391 0.9126 0.1058 1.0255 0.1110 0.2374 1.1849 0.1269 0.7466 0.8543 1.0874 0.4542 -1
0.5865 0.1760 -0.2374 0.0244 0.2681 -0.1647 0.6552 -0.0874 -0.1742 0.8735 0.3980 0.2374 0.3941 0.5219 0.2777 0.9705 0.0874 0.1742 -1
0.1435 0.1640 0.5466 0.4446 0.4691 0.2986 0.0408 -0.0874 -0.1742 0.4305 0.3860 1.0214 0.8143 0.7229 0.7410 0.3560 0.0874 0.1742 -1
0.1795 0.2600 0.5706 0.2460 0.4121 0.2986 0.0273 -0.0584 -0.0042 0.4665 0.4820 1.0454 0.6157 0.6659 0.7410 0.3425 0.1164 0.3442 -1
0.1835 0.2840 0.5266 0.4446 0.3111 0.2421 0.0476 -0.0874 -0.1742 0.4705 0.5060 1.0014 0.8143 0.5649 0.6845 0.3628 0.0874 0.1742 -1
0.1085 0.1810 0.4036 0.5988 0.4801 0.4454 0.0408 -0.0874 -0.1742 0.3955 0.4030 0.8784 0.9685 0.7339 0.8879 0.3560 0.0874 0.1742 -1
0.4535 -0.0030 -0.2374 0.6928 0.2981 0.5132 0.5335 -0.0874 0.1658 0.7405 0.2190 0.2374 1.0625 0.5519 0.9557 0.8487 0.0874 0.5142 -1
-0.0625 0.4410 0.1506 0.5049 0.7191 -0.2212 -0.0584 -0.0874 -0.1742 0.2245 0.6630 0.6254 0.8746 0.9729 0.2212 0.2568 0.0874 0.1742 -1
0.3765 0.2770 0.5596 0.1077 0.2621 -0.1139 0.2122 -0.0874 -0.1442 0.6635 0.4990 1.0344 0.4774 0.5159 0.3286 0.5274 0.0874 0.2042 -1
0.1405 0.3640 0.5646 0.4056 0.3941 0.2138 -0.0336 -0.0874 -0.1742 0.4275 0.5860 1.0394 0.7753 0.6479 0.6563 0.2816 0.0874 0.1742 -1
0.0555 0.2660 0.5396 0.4676 0.4871 0.1234 -0.0122 -0.0874 -0.1742 0.3425 0.4880 1.0144 0.8373 0.7409 0.5659 0.3031 0.0874 0.1742 -1
0.1625 0.2240 0.4216 0.4446 0.4281 0.3268 0.0667 -0.0434 -0.1742 0.4495 0.4460 0.8964 0.8143 0.6819 0.7692 0.3820 0.1314 0.1742 -1
0.1015 0.2750 0.5736 0.4995 0.3591 0.3720 -0.0122 -0.0874 0.1158 0.3885 0.4970 1.0484 0.8693 0.6129 0.8144 0.3031 0.0874 0.4642 -1
0.5365 -0.0360 -0.2374 0.0811 0.4801 -0.2212 0.6845 -0.0874 -0.1742 0.8235 0.1860 0.2374 0.4508 0.7339 0.2212 0.9998 0.0874 0.1742 -1
